id;fecha;genero;edad;nivel_formacion;carrera_grado;tipo_universidad;pais;provincia;trabajo;rubro;dotacion;origen_capital;dotacion_rh;puesto;tipo_contratacion;jornada;funcion;personas_a_cargo;anios_en_empresa;anios_en_puesto;anios_experiencia;sueldo_bruto;beneficios;bono;ajuste;ajuste_porcentaje;ajuste_mes;otros_proyectos;erp;nombre_area;idioma_exigencia;idioma_porcentaje;satisfaccion;busqueda;beneficios_expectativa;pregunta_bizarra;rh_una_palabra;diversidad_sexual;libertad_ser;diversidad_management;lenguaje_inclusivo;discapacidad;linea_segura;sufrio_acoso;teletrabajo;retorno_plan;retorno_mes;retorno_decision;retorno_dias;modalidad_ingresos;retorno_satisfaccion;valoracion_gestion_pandemia
13;2021-10-22T11:17:50Z;Hombre cis;31 - 35;Universitario completo;Administración de Empresas;Universidad Pública;Argentina;Santa Fe;Relación de Dependencia;Servicios de consultoría;501 - 1.000;Multinacional;9;Gerente;Indeterminado;Full time;Compensaciones y beneficios;3;9;5;9;280000;Medicina prepaga / Plan de salud, Horarios flexibles, Licencias extendidas, Abono de celular, Charter / Servicio de transporte, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Home office, Idiomas;Un sueldo;3 o más ajustes;51;Octubre;No;Enlatado propio;Capital Humano;No;0.1;4;No,  pero escucho ofertas;Gift de supermercado, Gimnacio;NA;Automotivación;No;Ni de acuerdo ni en desacuerdo;0.4;Ni de acuerdo ni en desacuerdo;No tengo ninguna discapacidad;Si;No;Voy rotando entre la oficina y el teletrabajo;Mixto;Ya volvimos 100%;De la empresa;2 días;Mixta;Muy satisfecho;5
15;2021-10-22T11:24:32Z;Mujer cis;36 - 40;Terciario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Córdoba;Relación de Dependencia;Servicios de correos y de telecomunicaciones;251 - 500;Nacional;4;Analista;Indeterminado;Full time;Payroll / Liquidación de sueldos;0;11;11;16;113000;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular;No recibo bono;2 ajustes;25;Noviembre;No;Bejerman;Adm. De personal;No;NA;5;No estoy buscando cambiar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;2021-10-22T11:26:07Z;Mujer cis;31 - 35;Terciario completo;No estudié en la Universidad;No estudié en la Universidad;Argentina;Buenos Aires;Relación de Dependencia;Industria metalúrgica, metalmecánica;51 - 100;Nacional;2;Responsable;Indeterminado;Full time;Generalista;1;4;4;6;95000;Horarios flexibles, Combustible, Préstamos;Un sueldo;3 o más ajustes;50;Octubre;No;No tenemos sistema de gestión;Recursos Humanos;No;0;4;No,  pero escucho ofertas;Home office, almuerzo saludable, cursos de idiomas;NA;NA;Si;De acuerdo;0;Ni de acuerdo ni en desacuerdo;No tengo ninguna discapacidad;No;No;No;Presencial 100%;Ya volvimos 100%;No aplica;No aplica;Presencial;No aplica / Prefiero no responder;4
17;2021-10-22T11:27:10Z;Mujer cis;36 - 40;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Industria metalúrgica, metalmecánica;101 - 250;Nacional;3;Analista;Indeterminado;Full time;Administración de personal;0;4;4;10;94557;Medicina prepaga / Plan de salud, Comedor / Almuerzos;Menos de un sueldo;1 solo;35;Mayo;Si, en emprendimiento no relacionado con RRHH;Tango;Recursos Humanos;No;0;2;Sí, activamente;horarios flexibles, home office, pago de internet, vacaciones extendidas, licencia por maternidad extendida, bono para supermercado;proyecto de familia;zona de impacto;No;Ni de acuerdo ni en desacuerdo;0.1;De acuerdo;No tengo ninguna discapacidad;No;No;No;Presencial 100%;Ya volvimos 100%;De la empresa;No aplica;Presencial;Muy instatisfecho;3
18;2021-10-22T11:38:08Z;Hombre cis;25 - 30;Diplomado de posgrado completo;Psicología;Universidad Pública;Argentina;Córdoba;Relación de Dependencia;Tecnologías de información;51 - 100;Nacional;3;Gerente;Indeterminado;Full time;Generalista;3;2;2;6;200000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de celular, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Home office, Idiomas;No recibo bono;3 o más ajustes;55;Julio;Si, en emprendimiento relacionado con RRHH;Enlatado propio;Recursos Humanos;No;0.1;5;No estoy buscando cambiar;Maestrias pagas;NA;NA;Si;De acuerdo;0.4;Ni de acuerdo ni en desacuerdo;No tengo ninguna discapacidad;Si;No;Voy rotando entre la oficina y el teletrabajo;Remoto 100%;No aplica;De común acuerdo;A elección de cada empleado;Teletrabajo;No aplica / Prefiero no responder;5
19;2021-10-22T11:38:29Z;Mujer cis;31 - 35;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Textiles, vestido, cuero, calzado;101 - 250;Nacional;3;Analista;Indeterminado;Full time;Administración de personal;0;0;0;3;85000;Medicina prepaga / Plan de salud, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Seguro de vida (adicionales a los de ley);No recibo bono;No tuve ajustes;0;NA;Si, en emprendimiento relacionado con RRHH;propio;Recursos Humanos;No;0;5;No estoy buscando cambiar;home office;Si tengo planeado tener hijos;NEXO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;2021-10-22T11:42:12Z;Hombre cis;25 - 30;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Chubut;Relación de Dependencia;Petróleo y producción de gas, refinación de petróleo;10.001 o más;Nacional;220;Analista;Indeterminado;Full time;Administración de personal;0;4;1;4;145000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Abono de celular, Combustible, Comedor / Almuerzos, Frutas y snacks, Home office, Idiomas, Préstamos, Seguro de vida (adicionales a los de ley);Dos sueldos;1 solo;10;Abril;No;SAP / SuccessFactors;Personas y Cultura;Si;0;4;No,  pero escucho ofertas;NA;NA;Negocio;No;Totalmente de acuerdo;0.4;De acuerdo;No tengo ninguna discapacidad;Si;No;Voy rotando entre la oficina y el teletrabajo;Mixto;Noviembre 2021;De la empresa;3 días;Mixta;Muy satisfecho;5
21;2021-10-22T11:43:53Z;Hombre cis;41 - 45;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de información;101 - 250;Nacional;3;HRBP;Indeterminado;Full time;People analytics;0;2;2;14;190000;Medicina prepaga / Plan de salud, Horarios flexibles, Licencias extendidas, Abono de celular, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Gimnasio, Home office, Idiomas, Reintegros en capacitación;Menos de un sueldo;2 ajustes;50;Agosto;Si, en emprendimiento relacionado con RRHH;HC Work;Talento Humano;No;0.2;5;No estoy buscando cambiar;NA;No me acuerdo puntualmente de la pregunta, pero un día tenía que ir de una entrevista en Pilar a otra en Microcentro (unos 50 km), llamé para avisar que llegaba tarde y el tipo que me entrevistó estaba casi acostado en la silla y repetía que para trabajar en RRLL de esa empresa había que tener huevos.;Fusible;No;Totalmente de acuerdo;0.3;De acuerdo;No tengo ninguna discapacidad;No se;Si;Voy rotando entre la oficina y el teletrabajo;Mixto;No esta definido;De común acuerdo;A elección de cada empleado;Teletrabajo;Muy satisfecho;5
22;2021-10-22T11:43:59Z;Mujer cis;31 - 35;Diplomado de posgrado completo;Psicología;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de información;2.501 - 5.000;Multinacional;10;Supervisor;Indeterminado;Full time;Administración de personal;6;7;3;10;120000;Medicina prepaga / Plan de salud, Abono de internet, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Gimnasio, Home office, Idiomas, Seguro de vida (adicionales a los de ley), Reintegro en electricidad;Un sueldo;2 ajustes;17;Octubre;Si, en proyectos ad honorem;Oracle HCM;Talento Humano;Si;1;3;Sí, activamente;Remoto 100%;Al entrar al puesto actual, el cliente me preguntó sobre mi color de piel;Talento;Si;Totalmente de acuerdo;0.3;Totalmente de acuerdo;No tengo ninguna discapacidad;Si;No;Si;Mixto;Diciembre 2021;De la empresa;2 días;Teletrabajo;Muy instatisfecho;4
23;2021-10-22T11:53:56Z;Hombre cis;36 - 40;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Medios de comunicación, cultura, gráficos;501 - 1.000;Nacional;6;Responsable;Indeterminado;Full time;Payroll / Liquidación de sueldos;0;6;6;11;165343;Medicina prepaga / Plan de salud, Horarios flexibles, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Gimnasio, Home office, Posgrados, Seguro de vida (adicionales a los de ley);Menos de un sueldo;3 o más ajustes;54.06;Octubre;Si, en emprendimiento no relacionado con RRHH;Nucleus;Capital Humano;No;0;3;Sí, activamente;Salario en dolares / crypto;No recuerdo;Gestion;No;Totalmente de acuerdo;0.6;Totalmente en desacuerdo;No tengo ninguna discapacidad;Si;No;Voy rotando entre la oficina y el teletrabajo;Mixto;No aplica;De la empresa;3 días;Mixta;Algo satisfecho;4
24;2021-10-22T11:55:39Z;Hombre cis;25 - 30;Universitario en curso;Comunicación;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de consultoría;10.001 o más;Multinacional;200;HRBP;Indeterminado;Full time;Generalista;0;7;1;5;130000;Medicina prepaga / Plan de salud, Abono de internet, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Gimnasio, Idiomas, Seguro de vida (adicionales a los de ley), Reintegro en electricidad;Un sueldo;2 ajustes;30;Octubre;No;workday;Recursos Humanos;Si;0.3;3;No,  pero escucho ofertas;más percepción salarial;NA;integral;Si;Totalmente de acuerdo;0.5;De acuerdo;No tengo ninguna discapacidad;Si;No;Si;En evaluación;Marzo 2022 en adelante;De la empresa;No aplica;Teletrabajo;Algo insatisfecho;3
25;2021-10-22T12:04:34Z;Prefiero no responder;36 - 40;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Otros;101 - 250;Nacional;1;Responsable;Indeterminado;Full time;Generalista;0;3;3;10;120000;Medicina prepaga / Plan de salud, Tarjeta de descuento;No recibo bono;No tuve ajustes;35;Septiembre;Si, en proyectos ad honorem;No tenemos sistema de gestión;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
26;2021-10-22T12:11:53Z;Mujer cis;31 - 35;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Tecnologías de información;1 - 50;Multinacional;1;Gerente;Plazo Fijo;Full time;Generalista;0;3;3;6;160000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Home office, Idiomas;No recibo bono;2 ajustes;40;Julio;No;No tenemos sistema de gestión;Recursos Humanos;No;0.2;3;No,  pero escucho ofertas;Trabajo por objetivos, flexibilidad laboral horaria real.;Me han preguntado si el café era molido o instantáneo;link;No;De acuerdo;0.1;Totalmente de acuerdo;No tengo ninguna discapacidad;No;Si;Voy rotando entre la oficina y el teletrabajo;Mixto;Ya volvimos 100%;De común acuerdo;3 días;Teletrabajo;Muy satisfecho;4
27;2021-10-22T12:16:36Z;Hombre cis;18 - 25;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Industrias químicas;10.001 o más;Multinacional;20;Analista;Indeterminado;Full time;Payroll / Liquidación de sueldos;0;1;1;3;113000;Medicina prepaga / Plan de salud, Vacaciones extendidas, Home office, Reintegro en electricidad;No recibo bono;1 solo;45;Septiembre;No;Oracle HCM;HR Ops;Si;0.4;2;No,  pero escucho ofertas;Almuerzo y bono;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;2021-10-22T12:19:38Z;Mujer cis;25 - 30;Diplomado de posgrado completo;Psicología;Universidad Pública;Argentina;Córdoba;Relación de Dependencia;Tecnologías de información;501 - 1.000;Multinacional;10;Analista;Plazo Fijo;Full time;Reclutamiento y selección;0;1;1;2;85000;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Abono de internet, Equipamiento ergonómico de teletrabajo, Home office, Idiomas, Posgrados, Reintegro en electricidad, Reintegros en capacitación;Menos de un sueldo;1 solo;20;Abril;No;Bamboo HR;Recursos Humanos;Si;0.8;5;No estoy buscando cambiar;Bono en dolares;NA;Empatía;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;2021-10-22T12:28:01Z;Mujer cis;41 - 45;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Servicios profesionales;10.001 o más;Multinacional;400;Analista;Indeterminado;Full time;Reclutamiento y selección;0;0;10;15;150000;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Charter / Servicio de transporte, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Home office, Idiomas;No recibo bono;2 ajustes;25;Octubre;No;Enlatado propio;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;2021-10-22T12:53:16Z;Mujer cis;31 - 35;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Tecnologías de información;10.001 o más;Multinacional;150;HRBP;Indeterminado;Full time;Administración de personal;150;0;0;5;125000;Medicina prepaga / Plan de salud, Abono de internet, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Gimnasio, Home office, Idiomas, Seguro de vida (adicionales a los de ley), Reintegro en electricidad;Un sueldo;1 solo;10;Octubre;Si, en emprendimiento relacionado con RRHH;Workday;Talento Humano;Si;0.9;4;No estoy buscando cambiar;Vacaciones extendidas, elección de prepaga;Cuáles son tus planes a cinco años (demasiado antigua), si fueras un animal cuál serías o una planta;Equipo;No;Totalmente de acuerdo;0.6;Totalmente de acuerdo;No tengo ninguna discapacidad;Si;Si;Si;En evaluación;No esta definido;De común acuerdo;A elección de cada empleado;Teletrabajo;No aplica / Prefiero no responder;5
31;2021-10-22T14:01:28Z;Mujer cis;31 - 35;Universitario completo;Ingeniería Industrial;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Comercio;1.001 - 2.500;Nacional;28;HRBP;Indeterminado;Full time;Capacitación y desarrollo;0;3;1;1;160000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Licencias extendidas, Equipamiento ergonómico de teletrabajo, Home office, Reintegros en capacitación;Menos de un sueldo;1 solo;20;Junio;No;Meta4;Talento;No;0.1;4;No,  pero escucho ofertas;Descuentos en viajes, compra de celulares y  wifi bonificado;No me acuerdo;Lejano;No;De acuerdo;0.2;De acuerdo;No tengo ninguna discapacidad;Si;Si;Si;Mixto;Noviembre 2021;De común acuerdo;A elección de cada empleado;Mixta;Algo insatisfecho;3
32;2021-10-22T14:08:12Z;Hombre cis;36 - 40;Universitario completo;Administración de Empresas;Universidad Privada;Argentina;Santa Fe;Relación de Dependencia;Otros;251 - 500;Nacional;7;HRBP;Indeterminado;Full time;Compensaciones y beneficios;0;5;2;15;200000;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Home office, Idiomas, Posgrados, Préstamos, Seguro de vida (adicionales a los de ley);Menos de un sueldo;2 ajustes;30;Agosto;No;Tango;Gestión de Personas;No;0.2;4;No,  pero escucho ofertas;Mayor flexibilidad horaria;NA;Empatia;No;Ni de acuerdo ni en desacuerdo;0.2;Ni de acuerdo ni en desacuerdo;No tengo ninguna discapacidad;Si;No;Si;Mixto;No esta definido;De la empresa;1 día;Mixta;Muy instatisfecho;5
33;2021-10-22T14:10:51Z;Hombre cis;36 - 40;Maestría completa;Psicología;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Medios de comunicación, cultura, gráficos;101 - 250;Nacional;4;Jefe;Monotributista;Full time;Generalista;3;0;0;11;120000;No tengo beneficios adicionales;No recibo bono;2 ajustes;32;Agosto;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;No;0;2;Sí, activamente;mejor sueldo y prepaga, modalidad mixta;porque me divorcié;Socio;No;De acuerdo;0.7;Totalmente en desacuerdo;No tengo ninguna discapacidad;No;Si;Voy rotando entre la oficina y el teletrabajo;Presencial 100%;Diciembre 2021;No aplica;No aplica;Presencial;Muy instatisfecho;3
34;2021-10-22T14:35:04Z;Mujer cis;36 - 40;Universitario abandonado;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;51 - 100;Nacional;1;Responsable;Indeterminado;Full time;Generalista;0;12;7;7;125000;Abono de celular, Préstamos, Seguro de vida (adicionales a los de ley);Menos de un sueldo;No tuve ajustes;20;Enero;No;No tenemos sistema de gestión;Recursos Humanos;No;0;2;No,  pero escucho ofertas;Flexibilidad - Capacitatción - Medicina Prepaga - Idiomas;NA;NA;No;De acuerdo;0.9;De acuerdo;No tengo ninguna discapacidad;Si;No;No;Presencial 100%;Ya volvimos 100%;De la empresa;No aplica;Presencial;No aplica / Prefiero no responder;4
35;2021-10-22T14:45:12Z;Mujer cis;25 - 30;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Mendoza;Relación de Dependencia;Alimentación, bebidas;2.501 - 5.000;Nacional;20;Analista;Temporada;Full time;Generalista;0;0;0;3;42000;Medicina prepaga / Plan de salud, Horarios flexibles, Comedor / Almuerzos;No recibo bono;No tuve ajustes;0;Marzo;No;Meta4;Recursos Humanos;No;0;3;Sí, activamente;Vacaciones extendidas, dias libres, idioma, gym, comedor, combustible;No me han hecho preguntas bizarras;Desarrollo;No;Ni de acuerdo ni en desacuerdo;0.3;En desacuerdo;No tengo ninguna discapacidad;Si;Si;No;Presencial 100%;Ya volvimos 100%;De común acuerdo;No aplica;Presencial;Muy satisfecho;3
36;2021-10-22T14:51:16Z;Mujer cis;25 - 30;Diplomado de posgrado en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de información;51 - 100;Nacional;2;Analista;Indeterminado;Full time;Generalista;0;1;1;1;69000;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Equipamiento ergonómico de teletrabajo, Home office, Reintegro en electricidad;No recibo bono;No tuve ajustes;0;Enero;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;No;0;4;No,  pero escucho ofertas;Inglés, descuentos en gym, cuponera, bono;Qué animal serias y por que?;Transformación;No;Totalmente de acuerdo;0.3;En desacuerdo;No tengo ninguna discapacidad;No;No;Si;Mixto;No esta definido;De la empresa;3 días;Teletrabajo;Algo satisfecho;5
